group,ticker,company_name,fiscal_yearquarter,earnings_date,ret_1day_pct,ret_1daypost_pct,ret_2day_pct,ret_3day_pct,ret_5day_pct
Group 2,NFLX,Netflix,2016q2,2016-04-18,-3.47,-13.42,-16.42,-15.55,-14.62
Group 2,NFLX,Netflix,2016q3,2016-07-18,0.17,-12.89,-12.74,-12.35,-12.29
Group 2,NFLX,Netflix,2016q4,2016-10-17,-1.39,18.37,16.72,18.2,22.58
Group 2,NFLX,Netflix,2017q1,2017-01-18,0.14,4.25,4.4,4.15,3.21
Group 2,NFLX,Netflix,2017q2,2017-04-17,2.16,-2.39,-0.28,-0.19,-2.32
Group 2,NFLX,Netflix,2017q3,2017-07-17,0.36,13.5,13.9,15.45,14.76
Group 2,NFLX,Netflix,2017q4,2017-10-16,1.5,-1.56,-0.09,1.68,-0.63
Group 2,NFLX,Netflix,2018q1,2018-01-22,2.47,9.72,12.43,11.88,20.66
Group 2,NFLX,Netflix,2018q2,2018-04-16,-2.04,8.16,5.95,7.1,6.43
Group 2,NFLX,Netflix,2018q3,2018-07-16,1.37,-5.63,-4.34,-8.51,-12.18
Group 2,HD,Home Depot,2016q2,2016-05-17,-1.61,-0.09,-1.7,-1.07,-1.4
Group 2,HD,Home Depot,2016q3,2016-08-16,-0.06,-0.16,-0.22,-0.26,-0.93
Group 2,HD,Home Depot,2016q4,2016-11-15,-3.35,0.9,-2.48,-4.35,-2.37
Group 2,HD,Home Depot,2017q1,2017-02-21,0.83,0.33,1.17,2.02,2.56
Group 2,HD,Home Depot,2017q2,2017-05-16,0.63,0.44,1.07,0.77,-0.2
Group 2,HD,Home Depot,2017q3,2017-08-15,-2.51,1.17,-1.37,-2.73,-4.26
Group 2,HD,Home Depot,2017q4,2017-11-14,1.89,-1.06,0.82,1.56,2.1
Group 2,HD,Home Depot,2018q1,2018-02-20,0.49,-1.51,-1.03,-0.16,1.22
Group 2,HD,Home Depot,2018q2,2018-05-15,-1.05,-1.33,-2.36,-2.04,-1.31
Group 2,HD,Home Depot,2018q3,2018-08-14,-1.2,1.37,0.16,-0.48,-0.86
Group 2,PANW,Palo Alto Networks,2016q2,2016-05-26,1.72,-12.8,-11.3,-12.21,-9.27
Group 2,PANW,Palo Alto Networks,2016q3,2016-08-30,1.54,-6.91,-5.48,-5.43,2.44
Group 2,PANW,Palo Alto Networks,2016q4,2016-11-21,-0.96,-13.55,-14.37,-15.72,-15.03
Group 2,PANW,Palo Alto Networks,2017q1,2017-02-28,-0.87,-25.49,-26.14,-25.83,-25.18
Group 2,PANW,Palo Alto Networks,2017q2,2017-05-31,1.39,16.3,17.92,17.1,18.19
Group 2,PANW,Palo Alto Networks,2017q3,2017-08-31,-0.77,10.25,9.4,11.18,10.21
Group 2,PANW,Palo Alto Networks,2017q4,2017-11-20,-0.31,4.17,3.84,6.94,7.61
Group 2,PANW,Palo Alto Networks,2018q1,2018-02-26,1.28,3.57,4.9,5.67,8.11
Group 2,PANW,Palo Alto Networks,2018q2,2018-06-04,-0.98,-2.18,-3.14,-3.56,-6.74
Group 2,PANW,Palo Alto Networks,2018q3,2018-09-06,-0.44,3.52,3.07,0.37,2.68
Group 2,PM,Philip Morris International,2016q2,2016-04-19,-1.76,-1.28,-3.02,-3.2,-4.06
Group 2,PM,Philip Morris International,2016q3,2016-07-19,-2.78,-0.7,-3.47,-4.3,-4.23
Group 2,PM,Philip Morris International,2016q4,2016-10-18,0.44,-0.9,-0.46,-0.54,-0.03
Group 2,PM,Philip Morris International,2017q1,2017-02-02,2.95,1.52,4.51,4.29,5.17
Group 2,PM,Philip Morris International,2017q2,2017-04-20,-4.22,-0.04,-4.26,-5.21,-3.81
Group 2,PM,Philip Morris International,2017q3,2017-07-20,-1.45,-0.14,-1.59,-0.55,-2.34
Group 2,PM,Philip Morris International,2017q4,2017-10-19,-3.86,0.85,-3.05,-3.26,-3.85
Group 2,PM,Philip Morris International,2018q1,2018-02-08,5.0,-1.68,3.24,2.18,3.7
Group 2,PM,Philip Morris International,2018q2,2018-04-19,-15.04,-0.85,-15.76,-17.41,-18.19
Group 2,PM,Philip Morris International,2018q3,2018-07-19,-1.28,4.32,2.99,2.51,1.29
Group 2,TXN,Texas Instruments,2016q2,2016-04-27,0.61,-0.56,0.05,0.35,-1.29
Group 2,TXN,Texas Instruments,2016q3,2016-07-25,1.43,7.69,9.23,9.72,8.42
Group 2,TXN,Texas Instruments,2016q4,2016-10-26,0.99,-0.97,0.02,-0.22,0.17
Group 2,TXN,Texas Instruments,2017q1,2017-01-24,0.95,1.14,2.09,3.63,3.85
Group 2,TXN,Texas Instruments,2017q2,2017-04-25,0.98,-1.51,-0.54,-0.03,-1.54
Group 2,TXN,Texas Instruments,2017q3,2017-07-25,0.24,1.41,1.65,0.69,-0.61
Group 2,TXN,Texas Instruments,2017q4,2017-10-24,0.07,-0.1,-0.03,1.48,2.33
Group 2,TXN,Texas Instruments,2018q1,2018-01-23,0.11,-8.41,-8.3,-6.95,-4.51
Group 2,TXN,Texas Instruments,2018q2,2018-04-24,1.47,4.58,6.12,4.18,2.67
Group 2,TXN,Texas Instruments,2018q3,2018-07-24,-0.96,-1.34,-2.28,-2.66,-2.3
Group 2,KLAC,KLA Corporation,2016q2,2016-04-26,0.01,0.28,0.29,0.14,-1.75
Group 2,KLAC,KLA Corporation,2016q3,2016-07-28,0.42,-2.51,-2.1,-1.97,-1.03
Group 2,KLAC,KLA Corporation,2016q4,2016-10-20,0.23,2.3,2.54,2.02,3.76
Group 2,KLAC,KLA Corporation,2017q1,2017-01-26,-1.56,3.66,2.04,3.52,2.89
Group 2,KLAC,KLA Corporation,2017q2,2017-04-27,2.77,-4.92,-2.29,-3.15,-1.89
Group 2,KLAC,KLA Corporation,2017q3,2017-07-27,-0.71,-5.43,-6.1,-4.44,-6.38
Group 2,KLAC,KLA Corporation,2017q4,2017-10-26,1.86,-1.48,0.35,-0.02,0.88
Group 2,KLAC,KLA Corporation,2018q1,2018-01-25,-1.61,-0.69,-2.28,-3.11,-4.91
Group 2,KLAC,KLA Corporation,2018q2,2018-04-26,1.31,1.27,2.59,1.58,2.24
Group 2,KLAC,KLA Corporation,2018q3,2018-07-30,-0.62,9.91,9.22,12.49,13.02
Group 2,AMAT,Applied Materials,2016q2,2016-05-19,0.33,13.05,13.42,15.13,18.54
Group 2,AMAT,Applied Materials,2016q3,2016-08-18,1.09,7.26,8.43,8.6,9.85
Group 2,AMAT,Applied Materials,2016q4,2016-11-17,1.9,0.17,2.08,3.64,5.98
Group 2,AMAT,Applied Materials,2017q1,2017-02-15,0.26,-0.75,-0.49,-1.52,1.91
Group 2,AMAT,Applied Materials,2017q2,2017-05-18,2.35,-0.37,1.97,-1.41,-0.01
Group 2,AMAT,Applied Materials,2017q3,2017-08-17,-1.56,2.86,1.25,2.37,1.92
Group 2,AMAT,Applied Materials,2017q4,2017-11-16,2.78,-2.24,0.47,-0.2,3.04
Group 2,AMAT,Applied Materials,2018q1,2018-02-14,3.43,2.8,6.32,6.12,12.2
Group 2,AMAT,Applied Materials,2018q2,2018-05-17,-2.22,-8.02,-10.07,-8.71,-7.67
Group 2,AMAT,Applied Materials,2018q3,2018-08-16,-0.97,-8.1,-8.99,-9.8,-10.36
Group 3,TJX,TJX Companies,2016q2,2016-05-17,1.39,-1.07,0.31,2.75,3.32
Group 3,TJX,TJX Companies,2016q3,2016-08-16,-5.25,0.18,-5.08,-5.58,-4.33
Group 3,TJX,TJX Companies,2016q4,2016-11-15,-1.77,4.1,2.25,0.42,1.85
Group 3,TJX,TJX Companies,2017q1,2017-02-22,0.32,2.0,2.33,0.47,1.27
Group 3,TJX,TJX Companies,2017q2,2017-05-16,-4.04,3.18,-0.99,-2.07,-3.79
Group 3,TJX,TJX Companies,2017q3,2017-08-15,0.92,1.82,2.76,-0.35,-0.33
Group 3,TJX,TJX Companies,2017q4,2017-11-14,-3.73,2.1,-1.7,-0.97,1.01
Group 3,TJX,TJX Companies,2018q1,2018-02-28,8.05,1.27,9.42,8.66,8.22
Group 3,TJX,TJX Companies,2018q2,2018-05-22,3.59,0.27,3.88,3.04,3.72
Group 3,TJX,TJX Companies,2018q3,2018-08-21,4.42,-0.73,3.66,4.71,6.57
Group 3,NEM,Newmont,2016q2,2016-04-20,-1.61,6.24,4.53,9.21,5.64
Group 3,NEM,Newmont,2016q3,2016-07-20,-5.54,3.46,-2.27,-2.6,-3.65
Group 3,NEM,Newmont,2016q4,2016-10-26,-0.84,-3.44,-4.26,-1.84,4.73
Group 3,NEM,Newmont,2017q1,2017-02-21,0.58,-3.67,-3.11,-4.74,-4.48
Group 3,NEM,Newmont,2017q2,2017-04-24,-2.31,-3.03,-5.26,-3.7,-3.63
Group 3,NEM,Newmont,2017q3,2017-07-25,6.56,2.0,8.68,7.15,7.78
Group 3,NEM,Newmont,2017q4,2017-10-26,-2.71,-0.79,-3.47,-3.94,-2.85
Group 3,NEM,Newmont,2018q1,2018-02-22,-1.41,1.35,-0.08,-0.24,-0.6
Group 3,NEM,Newmont,2018q2,2018-04-26,-0.28,-0.34,-0.62,-1.98,-4.95
Group 3,NEM,Newmont,2018q3,2018-07-26,1.06,-1.67,-0.62,-0.53,-1.1
Group 3,ISRG,Intuitive Surgical,2016q2,2016-04-19,-0.97,3.22,2.22,1.98,1.31
Group 3,ISRG,Intuitive Surgical,2016q3,2016-07-19,0.44,4.17,4.63,4.38,2.24
Group 3,ISRG,Intuitive Surgical,2016q4,2016-10-18,1.08,-5.86,-4.85,-5.34,-5.67
Group 3,ISRG,Intuitive Surgical,2017q1,2017-01-24,0.84,4.29,5.17,5.1,4.08
Group 3,ISRG,Intuitive Surgical,2017q2,2017-04-18,-0.91,6.5,5.53,5.1,5.34
Group 3,ISRG,Intuitive Surgical,2017q3,2017-07-20,0.51,-4.46,-3.98,-2.51,-1.0
Group 3,ISRG,Intuitive Surgical,2017q4,2017-10-19,0.89,2.97,3.88,3.59,4.4
Group 3,ISRG,Intuitive Surgical,2018q1,2018-01-25,2.81,-3.12,-0.4,-0.78,-1.89
Group 3,ISRG,Intuitive Surgical,2018q2,2018-04-17,3.05,8.01,11.3,11.42,9.34
Group 3,ISRG,Intuitive Surgical,2018q3,2018-07-19,-1.01,-0.76,-1.76,-1.23,-0.3
Group 3,LMT,Lockheed Martin,2016q2,2016-04-26,2.25,0.38,2.64,2.69,3.47
Group 3,LMT,Lockheed Martin,2016q3,2016-07-19,1.28,-1.35,-0.09,-0.61,-0.48
Group 3,LMT,Lockheed Martin,2016q4,2016-10-25,7.8,0.61,8.46,8.75,8.55
Group 3,LMT,Lockheed Martin,2017q1,2017-01-24,-2.61,-1.56,-4.13,-4.04,-2.82
Group 3,LMT,Lockheed Martin,2017q2,2017-04-25,-2.84,0.13,-2.71,-2.64,-2.71
Group 3,LMT,Lockheed Martin,2017q3,2017-07-18,-0.64,0.76,0.12,0.24,-0.21
Group 3,LMT,Lockheed Martin,2017q4,2017-10-24,-2.53,0.31,-2.23,-1.59,-3.86
Group 3,LMT,Lockheed Martin,2018q1,2018-01-29,2.58,0.73,3.33,5.44,7.56
Group 3,LMT,Lockheed Martin,2018q2,2018-04-24,-5.03,-2.15,-7.07,-5.29,-8.33
Group 3,LMT,Lockheed Martin,2018q3,2018-07-24,1.13,-0.27,0.86,-0.56,0.27
Group 3,SBUX,Starbucks,2016q2,2016-04-21,0.1,-5.06,-4.97,-5.09,-5.08
Group 3,SBUX,Starbucks,2016q3,2016-07-21,0.44,0.07,0.51,1.42,2.3
Group 3,SBUX,Starbucks,2016q4,2016-11-03,-1.89,2.02,0.09,1.77,2.85
Group 3,SBUX,Starbucks,2017q1,2017-01-26,-0.29,-3.84,-4.13,-4.47,-5.42
Group 3,SBUX,Starbucks,2017q2,2017-04-27,-0.42,-1.76,-2.17,-1.2,-0.7
Group 3,SBUX,Starbucks,2017q3,2017-07-27,2.9,-9.14,-6.5,-7.47,-6.35
Group 3,SBUX,Starbucks,2017q4,2017-11-02,-0.51,1.83,1.31,1.77,3.91
Group 3,SBUX,Starbucks,2018q1,2018-01-25,-0.47,-5.22,-5.67,-6.9,-6.6
Group 3,SBUX,Starbucks,2018q2,2018-04-26,1.99,-1.79,0.17,-0.08,0.04
Group 3,SBUX,Starbucks,2018q3,2018-07-26,-0.17,2.13,1.95,2.0,2.48
Group 3,CVS,CVS Health,2016q2,2016-05-03,3.54,0.6,4.16,4.45,5.08
Group 3,CVS,CVS Health,2016q3,2016-08-02,5.6,-1.08,4.46,5.56,4.56
Group 3,CVS,CVS Health,2016q4,2016-11-08,-12.21,2.92,-9.65,-10.36,-12.27
Group 3,CVS,CVS Health,2017q1,2017-02-09,-0.29,1.17,0.88,1.64,0.96
Group 3,CVS,CVS Health,2017q2,2017-05-02,-3.64,1.14,-2.54,-3.3,-2.14
Group 3,CVS,CVS Health,2017q3,2017-08-08,-0.42,1.24,0.82,2.16,3.46
Group 3,CVS,CVS Health,2017q4,2017-11-06,-3.75,3.4,-0.47,-0.94,-0.62
Group 3,CVS,CVS Health,2018q1,2018-02-08,-1.64,-2.87,-4.47,-3.64,-4.2
Group 3,CVS,CVS Health,2018q2,2018-05-02,-2.47,-5.34,-7.68,-10.3,-12.5
Group 3,CVS,CVS Health,2018q3,2018-08-08,4.18,0.62,4.82,5.25,7.85
Group 3,LOW,Lowe's,2016q2,2016-05-18,3.41,1.98,5.46,5.09,3.18
Group 3,LOW,Lowe's,2016q3,2016-08-17,-5.75,-0.92,-6.62,-6.18,-4.91
Group 3,LOW,Lowe's,2016q4,2016-11-16,-2.79,0.93,-1.89,-4.01,-2.58
Group 3,LOW,Lowe's,2017q1,2017-03-01,8.18,-0.6,7.53,5.15,6.26
Group 3,LOW,Lowe's,2017q2,2017-05-24,-3.26,1.53,-1.79,-3.93,-6.01
Group 3,LOW,Lowe's,2017q3,2017-08-23,-3.51,-0.43,-3.93,-2.27,-0.9
Group 3,LOW,Lowe's,2017q4,2017-11-21,-1.72,-1.27,-2.97,-1.65,-1.37
Group 3,LOW,Lowe's,2018q1,2018-02-28,-5.37,-0.74,-6.07,-6.55,-9.75
Group 3,LOW,Lowe's,2018q2,2018-05-23,10.2,2.08,12.49,10.77,11.3
Group 3,LOW,Lowe's,2018q3,2018-08-22,5.72,1.79,7.61,8.11,6.49
Group 3,ADBE,Adobe,2016q2,2016-06-21,1.53,-5.54,-4.09,-2.37,-1.99
Group 3,ADBE,Adobe,2016q3,2016-09-20,0.98,5.93,6.97,7.63,7.12
Group 3,ADBE,Adobe,2016q4,2016-12-15,-1.03,-1.36,-2.37,-1.75,-0.28
Group 3,ADBE,Adobe,2017q1,2017-03-16,0.26,3.89,4.16,3.68,3.74
